Taxa (replacement patterns)	Labels (search patterns)
style/unpythonic/\1	([^:]+)_unpythonic\b.*
subscript/index	index:.+
subscript/index/arithmetic	index_arithmetic
subscript/index/backwards	negative_index
subscript/index/backwards/last	negative_index:-1
subscript/index/shape/\1	nested_index:(\d+)
subscript/slice/copy	slice:::
subscript/slice/start	slice:.+:.*:.*
subscript/slice/step	slice:.*:.*:(?!-).+
subscript/slice/step/backwards	slice:.*:.*:-.+
subscript/slice/stop	slice:.*:.+:.*
type/boolean	external_free_call:bool
type/boolean/literal/False	literal:False
type/boolean/literal/True	literal:True
type/non_sequence/dictionary	external_free_call:dict
type/non_sequence/dictionary	member_call_method:(fromkeys|get|items|keys|popitem|setdefault|values)
type/non_sequence/dictionary	member_call_method:dict:(pop|clear|copy|update)
type/non_sequence/dictionary/literal	literal:Dict
type/non_sequence/dictionary/literal/empty	empty_literal:Dict
type/non_sequence/set	external_free_call:set
type/non_sequence/set	member_call_method:(add|difference|difference_update|discard|intersection|intersection_update|isdisjoint|issubset|issuperset|symmetric_difference|symmetric_difference_update|union)
type/non_sequence/set	member_call_method:set:(pop|clear|copy|remove|update)
type/non_sequence/set/literal	literal:Set
type/null/literal	literal:None
type/number	member_call_method:(as_integer_ratio)
type/number/complex	external_free_call:complex
type/number/complex	member_call_method:conjugate
type/number/complex	value_attr:(real|imag)
type/number/complex/literal	literal:(?!0j$).*j
type/number/complex/literal/zero	literal:0j
type/number/floating_point	external_free_call:float
type/number/floating_point	member_call_method:(is_integer|hex|fromhex)
type/number/floating_point	member_call_method:float:(as_integer_ratio)
type/number/floating_point/literal	literal:(?!0\.0$)[\d-]*?[e\.][\d-]*?(?<!j)
type/number/floating_point/literal/zero	literal:0.0
type/number/integer	external_free_call:int
type/number/integer	member_call_method:(bit_length|to_bytes)
type/number/integer	member_call_method:int:(as_integer_ratio)
type/number/integer/literal	literal:(?!0$)-?\d+
type/number/integer/literal/zero	literal:0
type/number/magic	magic_number:.+
type/sequence	member_call_method:(count|index)
type/sequence/list	external_free_call:list
type/sequence/list	member_call_method:(append|extend|insert|reverse|sort)
type/sequence/list	member_call_method:list:(count|index|pop|clear|copy|remove)
type/sequence/list/literal	literal:List
type/sequence/list/literal/empty	empty_literal:List
type/sequence/string	external_free_call:str
type/sequence/string	member_call_method:(capitalize|casefold|center|encode|endswith|expandtabs|find|format|format_map|isalnum|isalpha|isascii|isdecimal|isdigit|isidentifier|islower|isnumeric|isprintable|isspace|istitle|isupper|join|ljust|lower|lstrip|maketrans|partition|replace|rfind|rindex|rjust|rpartition|rsplit|rstrip|split|splitlines|startswith|strip|swapcase|title|translate|upper|zfill)
type/sequence/string	member_call_method:string:(count|index)
type/sequence/string/literal	literal:Str
type/sequence/string/literal/empty	empty_literal:Str
type/sequence/string/literal/formatted	node:JoinedStr
type/sequence/string/literal/special/\\\1	special_literal_string:.*?\\(\w).*
type/sequence/string/literal/special/box_drawing	special_literal_string:.*?[\u2500-\u257F].*
type/sequence/string/literal/special/cjk_unified_ideographs	special_literal_string:.*?[\u4E00-\u9FFF].*
type/sequence/string/literal/special/dingbats	special_literal_string:.*?[\u2700-\u27BF].*
type/sequence/string/literal/special/emojis	special_literal_string:.*?[\U0001F300-\U0001F6FF].*
type/sequence/string/literal/special/game_tiles_and_cards	special_literal_string:.*?[\U0001F000-\U0001F0FF].*
type/sequence/tuple	external_free_call:tuple
type/sequence/tuple/literal	literal:Tuple
